Date,Description,Debit,Credit,Balance
2024-12-01,SWIGGY Payment,450,,45000
2024-12-02,AMAZON Shopping,2500,,42500
2024-12-03,ZOMATO Foods,320,,42180
2024-12-04,UBER Trip,180,,42000
2024-12-05,Netflix Subscription,649,,41351
2024-12-06,Airtel Recharge,599,,40752
2024-12-07,BigBasket Groceries,1200,,39552
2024-12-08,RAPIDO Bike,85,,39467
2024-12-09,Flipkart Purchase,4500,,34967
2024-12-10,Petrol HP,1500,,33467
2024-12-11,DOMINOS Pizza,580,,32887
2024-12-12,JIO Postpaid,399,,32488
2024-12-13,Zepto Delivery,340,,32148
2024-12-14,OLA Auto,120,,32028
2024-12-15,Hotstar Annual,1499,,30529
2024-12-16,Electricity Bill,2100,,28429
2024-12-17,McDonalds,350,,28079
2024-12-18,Myntra Shopping,1800,,26279
2024-12-19,1mg Medicine,450,,25829
2024-12-20,Groww SIP,10000,,15829
